variant,source,image_path,svg_path,width,height,mean_delta2,normalized_mse,status,image_area
AC0800_L,successful_conversion,artifacts/images_to_convert/AC0800_L.jpg,src/artifacts/converted_images/converted_svgs/AC0800_L.svg,30,30,631.3433227539062,0.003236413291061931,ok,900
AC0800_M,successful_conversion,artifacts/images_to_convert/AC0800_M.jpg,src/artifacts/converted_images/converted_svgs/AC0800_M.svg,20,20,53.90999984741211,0.00027635524719934443,ok,400
AC0800_S,successful_conversion,artifacts/images_to_convert/AC0800_S.jpg,src/artifacts/converted_images/converted_svgs/AC0800_S.svg,15,15,908.693359375,0.004658174339997437,ok,225
AC0811_L,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0811_L.jpg,src/artifacts/converted_images/converted_svgs/AC0811_L.svg,25,45,541.8319702148438,0.0027775571970516146,ok,1125
AC0811_M,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0811_M.jpg,src/artifacts/converted_images/converted_svgs/AC0811_M.svg,20,35,1168.22998046875,0.005988619661508394,ok,700
AC0811_S,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0811_S.jpg,src/artifacts/converted_images/converted_svgs/AC0811_S.svg,15,25,1066.4560546875,0.005466902753748558,ok,375
AC0812_L,successful_conversion,artifacts/images_to_convert/AC0812_L.jpg,src/artifacts/converted_images/converted_svgs/AC0812_L.svg,45,25,896.6026611328125,0.004596194597630719,ok,1125
AC0812_M,successful_conversion,artifacts/images_to_convert/AC0812_M.jpg,src/artifacts/converted_images/converted_svgs/AC0812_M.svg,35,20,490.75714111328125,0.002515735697107683,ok,700
AC0812_S,successful_conversion,artifacts/images_to_convert/AC0812_S.jpg,src/artifacts/converted_images/converted_svgs/AC0812_S.svg,25,15,823.2080078125,0.0042199564670639495,ok,375
AC0813_L,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0813_L.jpg,src/artifacts/converted_images/converted_svgs/AC0813_L.svg,25,45,899.5973510742188,0.004611546077530277,ok,1125
AC0813_M,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0813_M.jpg,src/artifacts/converted_images/converted_svgs/AC0813_M.svg,20,35,2135.357177734375,0.010946339498830579,ok,700
AC0813_S,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0813_S.jpg,src/artifacts/converted_images/converted_svgs/AC0813_S.svg,15,25,740.7520141601562,0.0037972677901328016,ok,375
AC0814_L,successful_conversion,artifacts/images_to_convert/AC0814_L.jpg,src/artifacts/converted_images/converted_svgs/AC0814_L.svg,45,25,855.6666870117188,0.004386347235738658,ok,1125
AC0814_M,successful_conversion,artifacts/images_to_convert/AC0814_M.jpg,src/artifacts/converted_images/converted_svgs/AC0814_M.svg,35,20,1679.704345703125,0.008610556686931309,ok,700
AC0814_S,successful_conversion,artifacts/images_to_convert/AC0814_S.jpg,src/artifacts/converted_images/converted_svgs/AC0814_S.svg,25,15,816.9039916992188,0.004187640608479912,ok,375
AC0820_L,successful_conversion,artifacts/images_to_convert/AC0820_L.jpg,src/artifacts/converted_images/converted_svgs/AC0820_L.svg,30,30,7458.4033203125,0.03823351695661925,ok,900
AC0820_M,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0820_M.jpg,src/artifacts/converted_images/converted_svgs/AC0820_M.svg,20,20,6335.06982421875,0.03247504715734333,ok,400
AC0831_L,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0831_L.jpg,src/artifacts/converted_images/converted_svgs/AC0831_L.svg,25,45,4602.1572265625,0.02359173254677688,ok,1125
AC0831_M,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0831_M.jpg,src/artifacts/converted_images/converted_svgs/AC0831_M.svg,20,35,5450.80712890625,0.027942110105888762,ok,700
AC0831_S,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0831_S.jpg,src/artifacts/converted_images/converted_svgs/AC0831_S.svg,15,25,3908.719970703125,0.020037011255686916,ok,375
AC0832_L,successful_conversion,artifacts/images_to_convert/AC0832_L.jpg,src/artifacts/converted_images/converted_svgs/AC0832_L.svg,45,25,5184.14111328125,0.026575117843297448,ok,1125
AC0832_M,successful_conversion,artifacts/images_to_convert/AC0832_M.jpg,src/artifacts/converted_images/converted_svgs/AC0832_M.svg,35,20,4589.00146484375,0.02352429304033705,ok,700
AC0832_S,successful_conversion,artifacts/images_to_convert/AC0832_S.jpg,src/artifacts/converted_images/converted_svgs/AC0832_S.svg,25,15,3941.1279296875,0.020203142020697167,ok,375
AC0834_L,successful_conversion,artifacts/images_to_convert/AC0834_L.jpg,src/artifacts/converted_images/converted_svgs/AC0834_L.svg,45,25,3420.221435546875,0.01753285370009932,ok,1125
AC0834_M,successful_conversion,artifacts/images_to_convert/AC0834_M.jpg,src/artifacts/converted_images/converted_svgs/AC0834_M.svg,35,20,5650.1484375,0.028963980199923106,ok,700
AC0834_S,successful_conversion,artifacts/images_to_convert/AC0834_S.jpg,src/artifacts/converted_images/converted_svgs/AC0834_S.svg,25,15,3926.9599609375,0.02013051370466487,ok,375
AC0835_L,successful_conversion,artifacts/images_to_convert/AC0835_L.jpg,src/artifacts/converted_images/converted_svgs/AC0835_L.svg,25,25,7629.90234375,0.039112660995770855,ok,625
AC0835_M,successful_conversion,artifacts/images_to_convert/AC0835_M.jpg,src/artifacts/converted_images/converted_svgs/AC0835_M.svg,20,20,6029.96240234375,0.030910995270248622,ok,400
AC0835_S,successful_conversion,artifacts/images_to_convert/AC0835_S.jpg,src/artifacts/converted_images/converted_svgs/AC0835_S.svg,15,15,8714.9462890625,0.044674849617134436,ok,225
AC0836_L,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0836_L.jpg,src/artifacts/converted_images/converted_svgs/AC0836_L.svg,25,45,5102.861328125,0.026158458685761887,ok,1125
AC0836_M,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0836_M.jpg,src/artifacts/converted_images/converted_svgs/AC0836_M.svg,20,35,5446.5986328125,0.02792053637222863,ok,700
AC0836_S,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0836_S.jpg,src/artifacts/converted_images/converted_svgs/AC0836_S.svg,15,25,3724.35205078125,0.019091898248269897,ok,375
AC0837_L,successful_conversion,artifacts/images_to_convert/AC0837_L.jpg,artifacts/regression_baseline/satisfactory/svgs/AC0837_L.svg,45,25,6121.693359375,0.0313812295751634,ok,1125
AC0837_M,successful_conversion,artifacts/images_to_convert/AC0837_M.jpg,src/artifacts/converted_images/converted_svgs/AC0837_M.svg,35,20,5206.4658203125,0.026689559504357297,ok,700
AC0837_S,successful_conversion,artifacts/images_to_convert/AC0837_S.jpg,src/artifacts/converted_images/converted_svgs/AC0837_S.svg,25,15,7265.9677734375,0.03724704740965013,ok,375
AC0838_M,successful_conversion,artifacts/images_to_convert/nonconvertable/AC0838_M.jpg,src/artifacts/converted_images/converted_svgs/AC0838_M.svg,20,35,7789.17431640625,0.039929126317602204,ok,700
AC0839_L,successful_conversion,artifacts/images_to_convert/AC0839_L.jpg,src/artifacts/converted_images/converted_svgs/AC0839_L.svg,45,25,5250.20263671875,0.026913764637799563,ok,1125
AC0839_M,successful_conversion,artifacts/images_to_convert/AC0839_M.jpg,src/artifacts/converted_images/converted_svgs/AC0839_M.svg,35,20,5968.19140625,0.03059434272074843,ok,700
AC0839_S,successful_conversion,artifacts/images_to_convert/AC0839_S.jpg,src/artifacts/converted_images/converted_svgs/AC0839_S.svg,25,15,4136.7998046875,0.021206201741317442,ok,375
