variant;filename;status;best_iter;best_error;error_per_pixel;mean_delta2;std_delta2
AC0020_L;AC0020_L.jpg;;1;10.680238;0.00190719;3343.862061;13048.293945
AC0020_M;AC0020_M.jpg;;1;12.285354;0.00372283;3775.528809;12635.041016
AC0020_S;AC0020_S.jpg;;1;13.062083;0.00544253;4254.672852;14339.326172
AC0021;AC0021.jpg;;1;25.995662;0.00650542;8588.233398;20976.240234
AC0022;AC0022.jpg;;1;32.347848;0.00809506;12086.627930;24395.402344
AC0023;AC0023.jpg;;1;20.980952;0.00540050;6322.359863;17504.300781
AC0026;AC0026.jpg;;1;24.990390;0.00643253;8509.869141;20439.101562
AC0040_L;AC0040_L.jpg;;1;9.056548;0.00161724;2153.699951;6874.357422
AC0040_M;AC0040_M.jpg;;1;11.103434;0.00336468;2865.527344;7852.944824
AC0040_S;AC0040_S.jpg;;1;11.373056;0.00473877;2983.760742;8401.873047
AC0050_L;AC0050_L.jpg;;1;8.957440;0.00159954;2118.296631;6944.215820
AC0050_M;AC0050_M.jpg;;1;11.178586;0.00338745;2864.178223;7865.455566
AC0050_S;AC0050_S.jpg;;1;11.258056;0.00469086;2895.880859;7966.121094
AC0060_L;AC0060_L.jpg;;1;19.527024;0.00348697;8651.429688;21904.222656
AC0060_M;AC0060_M.jpg;;1;14.692828;0.00445237;5193.852051;16507.175781
AC0060_S;AC0060_S.jpg;;1;18.778194;0.00782425;7261.456543;19723.328125
AC0070_L;AC0070_L.jpg;;1;26.839583;0.00479278;12492.641602;25871.994141
AC0070_M;AC0070_M.jpg;;1;21.467172;0.00650520;8668.699219;21139.792969
AC0070_S;AC0070_S.jpg;;1;25.592222;0.01066343;10701.716797;23323.591797
AC0080_L;AC0080_L.jpg;;1;20.191250;0.00360558;8989.798828;22188.373047
AC0080_M;AC0080_M.jpg;;1;15.520606;0.00470321;5603.960449;17097.660156
AC0080_S;AC0080_S.jpg;;1;19.707917;0.00821163;7489.996582;18702.964844
AC0090_L;AC0090_L.jpg;;1;26.861905;0.00479677;12495.940430;25843.201172
AC0090_M;AC0090_M.jpg;;1;21.453535;0.00650107;8643.592773;21113.701172
AC0090_S;AC0090_S.jpg;;1;25.574167;0.01065590;10683.740234;23238.861328
AC0223_M;AC0223_M.jpg;;1;56.247901;0.04166511;22431.107422;39206.246094
AC0800_L;AC0800_L.jpg;;1;8.896667;0.00988519;1335.596680;4258.021973
AC0800_M;AC0800_M.jpg;;1;2.405000;0.00601250;53.910000;149.655472
AC0800_S;AC0800_S.jpg;;1;10.306667;0.04580741;899.773315;1675.581177
AC0811_L;AC0811_L.jpg;;1;4.829333;0.00429274;605.362671;2862.705078
AC0811_M;AC0811_M.jpg;;1;8.630000;0.01232857;1262.974243;3759.287109
AC0811_S;AC0811_S.jpg;;1;8.306667;0.02215111;877.096008;2340.779541
AC0812_L;AC0812_L.jpg;;1;6.312889;0.00561146;819.733337;2630.451172
AC0812_M;AC0812_M.jpg;;1;8.734286;0.01247755;1687.868530;6916.199707
AC0812_S;AC0812_S.jpg;;1;7.877333;0.02100622;697.168030;1595.431396
AC0813_M;AC0813_M.jpg;;1;8.705714;0.01243673;1667.802856;6874.982422
AC0813_S;AC0813_S.jpg;;1;7.677333;0.02047289;667.031982;1509.199097
AC0814_L;AC0814_L.jpg;;1;6.222222;0.00553086;815.807983;2673.526855
AC0814_M;AC0814_M.jpg;;1;8.498571;0.01214082;1679.704346;6910.367188
AC0814_S;AC0814_S.jpg;;1;8.005333;0.02134756;748.719971;2077.811279
AC0820_L;AC0820_L.jpg;;1;30.187778;0.03354198;7353.109863;13466.192383
AC0820_M;AC0820_M.jpg;;1;24.277500;0.06069375;5354.737305;12096.881836
AC0820_S;AC0820_S.jpg;;1;24.360000;0.10826667;4106.946777;7095.816406
AC0831_S;AC0831_S.jpg;;1;18.496000;0.04932267;3516.016113;9108.026367
AC0832_L;AC0832_L.jpg;;1;20.603556;0.01831427;5180.375977;12194.322266
AC0832_M;AC0832_M.jpg;;1;23.372857;0.03338980;5773.229980;12275.481445
AC0832_S;AC0832_S.jpg;;1;19.322667;0.05152711;3608.352051;7971.262695
AC0833_M;AC0833_M.jpg;;1;17.622857;0.02517551;4575.428711;12625.787109
AC0833_S;AC0833_S.jpg;;1;16.952000;0.04520533;3081.511963;8230.954102
AC0834_L;AC0834_L.jpg;;1;13.731556;0.01220583;3045.104004;9616.558594
AC0834_M;AC0834_M.jpg;;1;17.822857;0.02546122;4562.485840;12438.167969
AC0834_S;AC0834_S.jpg;;1;16.128000;0.04300800;2949.199951;9165.305664
AC0835_L;AC0835_L.jpg;;1;26.400000;0.04224000;7055.779297;14885.932617
AC0835_M;AC0835_M.jpg;;1;32.072500;0.08018125;7855.672363;14574.014648
AC0835_S;AC0835_S.jpg;;1;29.982222;0.13325432;6507.946777;12289.017578
AC0837_L;AC0837_L.jpg;;1;22.920000;0.02037333;5889.501465;13298.699219
AC0837_M;AC0837_M.jpg;;1;22.544286;0.03220612;5484.287109;12109.269531
AC0837_S;AC0837_S.jpg;;1;23.317333;0.06217956;5079.328125;10977.833008
AC0839_L;AC0839_L.jpg;;1;17.104000;0.01520356;4047.141357;11000.181641
AC0839_M;AC0839_M.jpg;;1;21.754286;0.03107755;5456.511230;12531.407227
AC0839_S;AC0839_S.jpg;;1;21.645333;0.05772089;5290.167969;13288.283203
AC0842_L;AC0842_L.jpg;;1;23.789333;0.02114607;6570.669434;14544.086914
AC0842_M;AC0842_M.jpg;;1;25.597143;0.03656735;7184.434082;15197.411133
AC0842_S;AC0842_S.jpg;;1;26.906667;0.07175111;6341.744141;13256.140625
AC0870_L;AC0870_L.jpg;;1;12.352222;0.01372469;1791.056641;4784.388184
AC0870_M;AC0870_M.jpg;;1;29.177500;0.07294375;5928.427734;10356.727539
AC0870_S;AC0870_S.jpg;;1;32.857778;0.14603457;6242.066895;8996.422852
AC0881_L;AC0881_L.jpg;;1;19.216889;0.01708168;5543.581543;14332.851562
AC0881_M;AC0881_M.jpg;;1;12.751429;0.01821633;1901.708618;4230.747070
AC0881_S;AC0881_S.jpg;;1;10.557333;0.02815289;1082.744019;2193.385742
AC0882_L;AC0882_L.jpg;;1;11.073778;0.00984336;2166.453369;7459.955566
AC0882_M;AC0882_M.jpg;;1;23.504286;0.03357755;6671.455566;15024.842773
AC0882_S;AC0882_S.jpg;;1;22.922667;0.06112711;4948.496094;10045.763672
